globalid,created_date,heading,location_timestamp,speed,vehicleid,vehiclename
{52695784-C3F4-46FE-B05A-193FE9CFAFAC},2/7/2025 5:57:53,189.000000000000000,2/7/2025 5:57:49,20,qcnmea1,QC NMEA 1
{AC252B44-6602-4D6D-9414-A414B0F82113},2/7/2025 5:58:03,218.000000000000000,2/7/2025 5:57:59,20,qcnmea1,QC NMEA 1
{0702C528-389C-436A-8564-454193742EA7},2/7/2025 5:58:12,240.000000000000000,2/7/2025 5:58:08,20,qcnmea1,QC NMEA 1
{5D09D7BD-1A59-4327-B733-F161A6161F1F},2/7/2025 5:58:22,263.000000000000000,2/7/2025 5:58:17,20,qcnmea1,QC NMEA 1
{BD05799E-08BC-45DA-885A-6D702A101C04},2/7/2025 5:58:32,92.000000000000000,2/7/2025 5:58:27,14,qcnmea1,QC NMEA 1
{1462B66C-32CC-49ED-8BDB-20527E2A2F8D},2/7/2025 5:59:13,347.000000000000000,2/7/2025 5:59:09,20,qcnmea1,QC NMEA 1
{787472CC-B42B-4235-8773-00D19696DB54},2/7/2025 5:59:23,296.000000000000000,2/7/2025 5:59:18,20,qcnmea1,QC NMEA 1
{2BC7B035-4888-49F7-897E-642BD1C810C2},2/7/2025 5:59:32,293.000000000000000,2/7/2025 5:59:28,20,qcnmea1,QC NMEA 1
{EB00A2D6-DA55-4228-BF17-44379CDD06E9},2/7/2025 5:59:43,33.000000000000000,2/7/2025 5:59:37,20,qcnmea1,QC NMEA 1
{2AE51A09-3CE0-4500-8A41-96DDE86C553A},2/7/2025 5:59:52,30.000000000000000,2/7/2025 5:59:46,20,qcnmea1,QC NMEA 1
{BC73C2F7-39B8-4354-B41A-77A6058BA5E2},2/7/2025 6:00:13,89.000000000000000,2/7/2025 6:00:09,20,qcnmea1,QC NMEA 1
{028B5263-7BCB-4FE8-9625-57284C5A70DD},2/7/2025 6:00:23,90.000000000000000,2/7/2025 6:00:18,20,qcnmea1,QC NMEA 1
{C7E4446F-4310-4C28-90A8-6CFACF0E9AD5},2/7/2025 6:00:32,140.000000000000000,2/7/2025 6:00:28,20,qcnmea1,QC NMEA 1
{25BEA117-6E60-4C88-A588-1E492A9242FE},2/7/2025 6:00:43,51.000000000000000,2/7/2025 6:00:37,20,qcnmea1,QC NMEA 1
{92E34B8B-ADCC-4B94-BE55-9532468498C3},2/7/2025 6:00:53,140.000000000000000,2/7/2025 6:00:46,20,qcnmea1,QC NMEA 1
{BA10A9C5-183F-4786-AE9F-2098DEBC97DB},2/7/2025 6:01:23,87.000000000000000,2/7/2025 6:01:19,20,qcnmea1,QC NMEA 1
{25901D71-6422-413C-9167-D828A328E099},2/7/2025 6:01:32,63.000000000000000,2/7/2025 6:01:29,20,qcnmea1,QC NMEA 1
{C4E5DAB3-B458-4AD0-8359-948C2D48504B},2/7/2025 6:01:43,36.000000000000000,2/7/2025 6:01:38,20,qcnmea1,QC NMEA 1
{7AF039F0-D4EF-41F7-A169-B7E2F26F553D},2/7/2025 6:01:52,90.000000000000000,2/7/2025 6:01:48,20,qcnmea1,QC NMEA 1
{D6A06C73-BEEF-4970-93A5-F0AC1FB69023},2/7/2025 6:02:03,113.000000000000000,2/7/2025 6:01:57,20,qcnmea1,QC NMEA 1
{9D415D05-3443-4CB3-A7DC-5670C716026B},2/7/2025 6:02:12,68.000000000000000,2/7/2025 6:02:06,20,qcnmea1,QC NMEA 1
{A3F72DD0-D24A-4A86-BAEA-4A91ED104937},2/7/2025 6:02:32,311.000000000000000,2/7/2025 6:02:29,20,qcnmea1,QC NMEA 1
{2E3043C0-2856-4E25-96E7-62C9B9BF4452},2/7/2025 6:02:43,298.000000000000000,2/7/2025 6:02:39,20,qcnmea1,QC NMEA 1
{EA0FB859-5D01-41EF-8FB3-B189369AEF92},2/7/2025 6:02:52,201.000000000000000,2/7/2025 6:02:48,20,qcnmea1,QC NMEA 1
{3D7F53D3-0A07-4904-8E1D-1991A4C673FC},2/7/2025 6:03:02,205.000000000000000,2/7/2025 6:02:58,20,qcnmea1,QC NMEA 1
{1B11E070-593E-497F-B884-1C8DDC2E557A},2/7/2025 6:03:13,192.000000000000000,2/7/2025 6:03:07,20,qcnmea1,QC NMEA 1
{D1A16C25-F361-48EE-94AF-998F03F7FD91},2/7/2025 6:03:23,167.000000000000000,2/7/2025 6:03:16,20,qcnmea1,QC NMEA 1
{B2FF1C81-666D-48DA-8C62-751C6326E32C},2/7/2025 6:03:52,29.000000000000000,2/7/2025 6:03:49,20,qcnmea1,QC NMEA 1
{1FEBE513-220D-4F49-ACFD-B0C8865D20CA},2/7/2025 6:04:03,358.000000000000000,2/7/2025 6:03:59,20,qcnmea1,QC NMEA 1
{0CB54B48-31E7-4BA2-96A8-053D9B6F6003},2/7/2025 6:04:13,358.000000000000000,2/7/2025 6:04:08,20,qcnmea1,QC NMEA 1
{3C8DCF5F-4EE4-4A79-A6FA-6D88FC905AC5},2/7/2025 6:04:22,95.000000000000000,2/7/2025 6:04:18,20,qcnmea1,QC NMEA 1
{F8491884-FAA0-4F2A-A7B6-982E503E669B},2/7/2025 6:04:33,95.000000000000000,2/7/2025 6:04:27,20,qcnmea1,QC NMEA 1
{5CDD51D9-06E2-493D-B6A9-E46B1471531C},2/7/2025 6:04:43,91.000000000000000,2/7/2025 6:04:36,20,qcnmea1,QC NMEA 1
{35F36767-A93F-40C3-87C3-32FBEA313D8D},2/7/2025 6:05:13,91.000000000000000,2/7/2025 6:05:09,20,qcnmea1,QC NMEA 1
{20A48309-6394-4B23-AF38-CB9D18219654},2/7/2025 6:05:23,85.000000000000000,2/7/2025 6:05:18,20,qcnmea1,QC NMEA 1
{8C4384FE-A80A-44A8-998F-44000A6DF2DA},2/7/2025 6:05:32,85.000000000000000,2/7/2025 6:05:27,20,qcnmea1,QC NMEA 1
