granularmode,GranularSetting,GranularTotal,heading,servicetype,speedmph,spreaderstatus,vehicleid,xcoord,ycoord,reporttimeepoch
C,0,429491,212,In Transit,8,O,H78,-87.97833,41.9293,1643967393
C,0,685083,0,Idle,0,O,H93,-88.1503,41.92975,1643967393
M,0,30939,22,In Transit,35,O,H74,-88.0082,41.75733,1643967394
C,0,76429,284,In Transit,13,O,H85,-88.20188,41.80955,1643967394
C,100,649962,266,Spreading,15,S,H60,-87.94543,41.75262,1643967424
C,0,1004493,12,Spreading,26,S,H67,-88.04322,41.90303,1643967424
C,0,239783,104,In Transit,13,O,H75,-88.02505,41.82597,1643967424
M,0,30939,358,In Transit,35,O,H74,-88.00817,41.76345,1643967425
C,0,429491,162,In Transit,29,O,H78,-87.9792,41.92652,1643967425
C,100,685083,358,Spreading,26,S,H93,-88.15028,41.9314,1643967425
C,150,76429,278,Idle,0,S,H85,-88.20273,41.80972,1643967426
C,0,1004494,10,In Transit,6,O,H67,-88.04298,41.90385,1643967453
C,0,239783,276,In Transit,4,O,H75,-88.02413,41.82605,1643967453
C,0,685097,0,In Transit,29,O,H93,-88.15027,41.9339,1643967453
M,0,30939,358,In Transit,35,O,H74,-88.00825,41.76632,1643967454
C,200,429514,150,Spreading,22,S,H78,-87.9769,41.92328,1643967454
C,150,76429,284,Spreading,26,S,H85,-88.2051,41.81015,1643967454
C,0,239783,340,In Transit,8,O,H75,-88.02515,41.82617,1643967482
C,1000,1004585,8,Spreading,24,B,H67,-88.04233,41.90622,1643967483
C,0,685097,358,In Transit,15,O,H93,-88.15025,41.9379,1643967483
C,0,429553,154,In Transit,22,O,H78,-87.97513,41.92078,1643967484
C,0,76467,268,In Transit,33,O,H85,-88.20888,41.81047,1643967486
M,0,30939,0,In Transit,26,O,H74,-88.00843,41.77177,1643967496
C,100,649962,0,Idle,0,S,H60,-87.95418,41.75233,1643967513
C,1000,1004585,358,Spreading,26,B,H67,-88.0423,41.90952,1643967513
C,0,239783,354,In Transit,2,O,H75,-88.02532,41.82785,1643967513
C,0,685101,358,In Transit,15,O,H93,-88.15032,41.9396,1643967514
M,0,30939,50,In Transit,11,O,H74,-88.00838,41.77295,1643967515
C,200,429587,158,Spreading,26,S,H78,-87.97325,41.91773,1643967516
C,0,76467,254,In Transit,29,O,H85,-88.21607,41.81037,1643967516
C,1000,1004585,0,Spreading,26,B,H67,-88.04232,41.91287,1643967542
C,0,685101,306,In Transit,11,O,H93,-88.1506,41.94073,1643967543
M,0,30939,88,In Transit,35,O,H74,-88.00185,41.77312,1643967544
C,200,429610,164,Spreading,17,S,H78,-87.97242,41.91547,1643967544
C,0,76467,236,In Transit,29,O,H85,-88.21883,41.80905,1643967546
C,1000,1004585,0,Spreading,29,B,H67,-88.04233,41.9164,1643967573
C,0,239783,358,In Transit,11,O,H75,-88.02555,41.83325,1643967573
C,0,685101,176,In Transit,8,O,H93,-88.15258,41.94055,1643967574
M,0,30939,88,In Transit,33,O,H74,-87.99792,41.77318,1643967575
C,0,429616,166,In Transit,6,O,H78,-87.9716,41.91332,1643967576
C,0,76467,260,In Transit,33,O,H85,-88.22592,41.80787,1643967576
C,1000,1004598,0,Spreading,17,B,H67,-88.04227,41.9199,1643967604
C,300,559778,328,Spreading,15,S,H70,-87.92637,41.81763,1643967604
C,0,685101,6,Idle,0,O,H93,-88.15213,41.94025,1643967604
M,0,30939,90,Idle,0,O,H74,-87.9944,41.77323,1643967606
C,0,76467,260,In Transit,29,O,H85,-88.22935,41.8074,1643967606
C,0,429616,306,In Transit,6,O,H78,-87.97143,41.91302,1643967607
C,0,1004645,106,In Transit,15,O,H67,-88.04175,41.92023,1643967632
C,100,650165,268,Spreading,6,S,H60,-87.96637,41.75212,1643967633
C,0,559808,64,In Transit,6,O,H70,-87.92717,41.81943,1643967633
C,0,239783,358,In Transit,2,O,H75,-88.02577,41.83665,1643967633
M,0,30939,88,In Transit,31,O,H74,-87.99177,41.7733,1643967635
C,0,429627,344,In Transit,22,O,H78,-87.97228,41.91533,1643967636
C,0,76467,286,In Transit,24,O,H85,-88.23605,41.8077,1643967636
C,0,559808,0,Idle,0,O,H70,-87.92662,41.82002,1643967662
C,0,239795,216,In Transit,8,O,H75,-88.02737,41.8366,1643967662
C,0,1004646,320,Idle,0,O,H67,-88.03993,41.9211,1643967663
M,0,30939,86,In Transit,38,O,H74,-87.98792,41.7734,1643967664
C,0,429627,336,In Transit,29,O,H78,-87.97368,41.9187,1643967664
C,0,76467,18,In Transit,20,O,H85,-88.23762,41.80872,1643967665
C,0,239795,0,Idle,0,O,H75,-88.02792,41.83622,1643967693
M,0,30939,88,In Transit,33,O,H74,-87.9806,41.77353,1643967694
C,0,429635,328,In Transit,22,O,H78,-87.97552,41.92152,1643967695
C,0,76467,32,In Transit,29,O,H85,-88.2363,41.81077,1643967695
C,100,650165,318,Spreading,6,S,H60,-87.97363,41.75207,1643967723
M,0,30939,88,In Transit,31,O,H74,-87.97675,41.77358,1643967725
C,200,429635,338,Spreading,20,S,H78,-87.97748,41.9243,1643967725
C,0,76467,34,In Transit,26,O,H85,-88.23235,41.8144,1643967726
M,0,30939,32,In Transit,11,O,H74,-87.97453,41.77373,1643967754
C,0,429665,336,In Transit,24,O,H78,-87.97902,41.9264,1643967754
C,0,76467,4,In Transit,29,O,H85,-88.23137,41.81665,1643967755
M,0,30939,358,In Transit,29,O,H74,-87.97473,41.77875,1643967784
C,0,429665,22,Idle,0,O,H78,-87.97827,41.92897,1643967785
C,0,76467,358,In Transit,2,O,H85,-88.23112,41.81943,1643967785
C,0,650321,358,In Transit,26,O,H60,-87.9742,41.76345,1643967813
M,0,30939,358,In Transit,29,O,H74,-87.97475,41.78108,1643967813
C,0,239795,58,In Transit,8,O,H75,-88.02772,41.8366,1643967813
C,0,429670,90,In Transit,8,O,H78,-87.97812,41.92905,1643967814
C,150,76467,308,Idle,0,S,H85,-88.23122,41.82023,1643967814
C,100,650321,358,Spreading,29,S,H60,-87.97428,41.7669,1643967843
M,0,30939,358,In Transit,31,O,H74,-87.975,41.78643,1643967845
C,0,429670,120,In Transit,35,O,H78,-87.97442,41.9276,1643967845
C,0,76475,120,Idle,0,O,H85,-88.23117,41.8202,1643967845
C,0,650345,354,In Transit,22,O,H60,-87.9744,41.76983,1643967873
M,0,30939,358,Idle,0,O,H74,-87.975,41.78772,1643967874
C,0,685101,0,Idle,0,O,H93,-88.15212,41.94025,1643967874
C,0,429670,118,In Transit,33,O,H78,-87.9695,41.92547,1643967875
C,0,559808,168,In Transit,15,O,H70,-87.92732,41.81905,1643967902
C,100,650345,358,Spreading,22,S,H60,-87.97443,41.77198,1643967904
M,0,30939,358,In Transit,2,O,H74,-87.97502,41.78777,1643967905
C,0,429670,124,Idle,0,O,H78,-87.96437,41.92318,1643967906
C,0,650377,356,In Transit,22,O,H60,-87.97458,41.77505,1643967934
M,0,30939,358,In Transit,24,O,H74,-87.97507,41.78933,1643967936
C,0,76475,182,In Transit,2,O,H85,-88.2312,41.82007,1643967937
C,0,1004646,0,Idle,0,O,H67,-88.03992,41.92115,1643967963
M,0,30939,254,In Transit,11,O,H74,-87.9754,41.79185,1643967965
C,0,76475,184,In Transit,22,O,H85,-88.23133,41.81867,1643967966
C,0,650377,0,Idle,0,O,H60,-87.97498,41.77788,1643967992
C,300,559808,328,Spreading,15,S,H70,-87.92652,41.81782,1643967992
M,0,30939,272,In Transit,4,O,H74,-87.97792,41.79183,1643967995
C,200,429670,38,Spreading,20,S,H78,-87.96297,41.9239,1643967995
C,0,76475,214,In Transit,31,O,H85,-88.23258,41.81433,1643967996
C,0,650377,156,In Transit,6,O,H60,-87.97478,41.77783,1643968024
C,0,559844,10,In Transit,20,O,H70,-87.9272,41.82005,1643968024
C,0,239902,220,In Transit,20,O,H75,-88.02862,41.81968,1643968024
C,0,429703,40,In Transit,22,O,H78,-87.9609,41.92597,1643968025
M,0,30939,266,In Transit,20,O,H74,-87.97983,41.79177,1643968026
C,0,76475,218,In Transit,29,O,H85,-88.23472,41.81238,1643968026
C,0,239902,210,In Transit,2,O,H75,-88.02888,41.81938,1643968056
M,0,30939,268,In Transit,15,O,H74,-87.98433,41.79167,1643968058
C,0,429703,30,Idle,0,O,H78,-87.95867,41.9283,1643968059
C,0,76475,196,In Transit,29,O,H85,-88.23795,41.80822,1643968059
C,0,239902,182,In Transit,29,O,H75,-88.02953,41.81588,1643968083
M,0,30939,178,In Transit,13,O,H74,-87.9849,41.7915,1643968085
C,0,76475,194,In Transit,31,O,H85,-88.23893,41.8057,1643968086
C,0,429703,234,In Transit,6,O,H78,-87.95883,41.92833,1643968087
M,0,30939,174,In Transit,13,O,H74,-87.9848,41.78975,1643968114
C,0,429703,218,Idle,0,O,H78,-87.96103,41.92605,1643968115
C,0,76475,188,In Transit,29,O,H85,-88.24012,41.80078,1643968115
C,100,650377,178,Spreading,24,S,H60,-87.97458,41.77175,1643968143
C,0,239902,0,Idle,0,O,H75,-88.03423,41.81162,1643968143
M,0,30939,264,In Transit,8,O,H74,-87.98488,41.788,1643968145
C,200,429703,202,Spreading,6,S,H78,-87.96108,41.92597,1643968145
C,0,76475,184,In Transit,33,O,H85,-88.24055,41.79818,1643968145
C,100,650506,176,Spreading,26,S,H60,-87.97447,41.7679,1643968174
C,100,685101,30,Spreading,4,S,H93,-88.15242,41.9407,1643968174
M,0,30939,268,In Transit,33,O,H74,-87.9878,41.78798,1643968175
C,200,429703,216,Spreading,13,S,H78,-87.96275,41.92433,1643968176
C,0,76475,184,In Transit,26,O,H85,-88.24102,41.79317,1643968176
M,0,30939,268,In Transit,20,O,H74,-87.9938,41.78793,1643968203
C,150,685107,170,Spreading,11,S,H93,-88.1505,41.94043,1643968203
C,200,429703,170,Idle,0,S,H78,-87.96288,41.92413,1643968204
C,0,76475,180,In Transit,29,O,H85,-88.24122,41.79077,1643968204
C,0,1004646,0,Idle,0,O,H67,-88.03993,41.92118,1643968236
C,0,685146,178,In Transit,29,O,H93,-88.15042,41.93723,1643968236
M,0,30939,268,In Transit,31,O,H74,-87.99678,41.78787,1643968237
C,200,429703,30,Idle,0,S,H78,-87.96263,41.92425,1643968237
C,0,76475,174,In Transit,29,O,H85,-88.24157,41.78577,1643968237
C,0,559844,0,In Transit,6,O,H70,-87.929,41.84367,1643968263
C,0,1004646,0,Idle,0,O,H67,-88.03993,41.92118,1643968265
M,0,30939,268,In Transit,31,O,H74,-88.00362,41.78773,1643968265
C,0,685151,182,In Transit,33,O,H93,-88.15043,41.9331,1643968265
C,200,429703,32,Spreading,6,S,H78,-87.9626,41.92432,1643968266
C,150,76475,176,Spreading,26,S,H85,-88.24085,41.78265,1643968266
C,100,650506,178,Idle,0,S,H60,-87.97397,41.75208,1643968292
C,0,559844,174,In Transit,22,O,H70,-87.92915,41.84205,1643968292
C,150,685152,180,Spreading,29,S,H93,-88.15048,41.92868,1643968293
M,0,30939,270,In Transit,24,O,H74,-88.00685,41.78768,1643968294
C,0,429803,38,In Transit,26,O,H78,-87.96042,41.92653,1643968294
C,0,76486,276,In Transit,6,O,H85,-88.24118,41.78072,1643968294
C,100,650506,258,Spreading,6,S,H60,-87.97408,41.75195,1643968322
M,0,30939,280,Idle,0,O,H74,-88.0088,41.78765,1643968325
C,0,76486,8,In Transit,8,O,H85,-88.24208,41.78105,1643968325
C,0,685156,180,In Transit,31,O,H93,-88.1505,41.925,1643968325
C,0,429803,36,In Transit,26,O,H78,-87.95832,41.92862,1643968326
C,0,685159,180,In Transit,31,O,H93,-88.15053,41.92107,1643968362
M,0,30939,270,In Transit,2,O,H74,-88.00882,41.78763,1643968363
C,0,429813,64,In Transit,22,O,H78,-87.95572,41.93033,1643968363
C,0,76486,68,In Transit,8,O,H85,-88.24183,41.7815,1643968363
C,0,1004646,0,Idle,0,O,H67,-88.03993,41.92118,1643968384
C,0,685159,176,In Transit,22,O,H93,-88.15058,41.91712,1643968384
M,0,30939,268,In Transit,31,O,H74,-88.01465,41.78732,1643968385
C,0,76486,90,Idle,0,O,H85,-88.24102,41.78153,1643968386
C,0,429813,86,In Transit,22,O,H78,-87.95048,41.93085,1643968387
