granularmode,GranularSetting,GranularTotal,heading,servicetype,speedmph,spreaderstatus,vehicleid,xcoord,ycoord,reporttimeepoch
C,0,239902,0,Idle,0,O,H75,-88.0428,41.8078,1643969253
C,100,685451,348,Spreading,20,S,H93,-88.14302,41.8652,1643969253
M,0,30939,178,In Transit,33,O,H74,-88.1037,41.75042,1643969254
C,0,76491,350,In Transit,4,O,H85,-88.24215,41.7809,1643969255
C,100,685457,346,Spreading,20,S,H93,-88.14388,41.86808,1643969293
M,0,30939,186,Idle,0,O,H74,-88.10367,41.74917,1643969294
C,0,76491,60,In Transit,8,O,H85,-88.24192,41.78147,1643969294
C,0,591207,180,Idle,0,O,H69,-87.93545,41.76462,1643969315
C,0,559848,358,In Transit,26,O,H70,-87.97237,41.84865,1643969315
C,0,685461,344,In Transit,26,O,H93,-88.14483,41.871,1643969315
M,0,30939,268,In Transit,20,O,H74,-88.10413,41.74907,1643969316
C,150,76491,358,Spreading,15,S,H85,-88.24062,41.78217,1643969317
C,0,685465,340,In Transit,13,O,H93,-88.14537,41.87227,1643969344
M,0,30939,268,In Transit,33,O,H74,-88.1076,41.749,1643969345
C,0,76503,346,In Transit,24,O,H85,-88.24083,41.78363,1643969346
C,0,1004646,0,Idle,0,O,H67,-88.03995,41.92113,1643969376
C,0,591207,178,In Transit,35,O,H69,-87.93538,41.76225,1643969376
C,0,685465,344,In Transit,2,O,H93,-88.14595,41.87367,1643969376
M,0,30939,266,In Transit,11,O,H74,-88.11458,41.74878,1643969377
C,0,76503,2,In Transit,29,O,H85,-88.24133,41.78798,1643969377
C,100,650782,234,Spreading,8,S,H60,-88.01297,41.75127,1643969402
C,0,1004646,0,Idle,0,O,H67,-88.03995,41.92113,1643969403
C,0,591207,178,In Transit,35,O,H69,-87.93523,41.75822,1643969403
C,100,685465,60,Spreading,13,S,H93,-88.14442,41.87462,1643969404
M,0,30939,264,Idle,0,O,H74,-88.11473,41.74878,1643969405
C,0,76503,2,In Transit,26,O,H85,-88.24113,41.79027,1643969405
C,0,591207,178,In Transit,35,O,H69,-87.93507,41.75417,1643969433
M,0,30939,242,In Transit,2,O,H74,-88.11478,41.74872,1643969434
C,0,76503,2,In Transit,29,O,H85,-88.24072,41.79502,1643969434
C,100,685477,62,Spreading,13,S,H93,-88.14187,41.87567,1643969434
C,0,1004646,0,Idle,0,O,H67,-88.03995,41.92113,1643969462
C,0,591207,178,In Transit,33,O,H69,-87.93498,41.75013,1643969463
C,0,559848,0,Idle,0,O,H70,-87.97295,41.86035,1643969463
M,0,30939,268,In Transit,42,O,H74,-88.12208,41.7486,1643969464
C,0,76509,2,In Transit,31,O,H85,-88.24043,41.79762,1643969464
C,100,685480,76,Spreading,11,S,H93,-88.13982,41.87618,1643969464
C,0,591207,182,In Transit,6,O,H69,-87.93497,41.74888,1643969496
M,0,30939,266,In Transit,44,O,H74,-88.12692,41.74848,1643969497
C,0,76509,8,In Transit,35,O,H85,-88.23963,41.80278,1643969497
C,100,651156,268,Spreading,22,S,H60,-88.02987,41.75093,1643969524
C,0,591207,0,Idle,0,O,H69,-87.93687,41.74713,1643969524
C,100,685480,74,Spreading,2,S,H93,-88.13642,41.8768,1643969524
M,0,30939,266,In Transit,40,O,H74,-88.13637,41.7483,1643969525
C,0,76509,14,In Transit,31,O,H85,-88.23892,41.80545,1643969525
C,0,591207,38,In Transit,8,O,H69,-87.93657,41.74702,1643969553
C,0,559848,54,In Transit,6,O,H70,-87.97292,41.86118,1643969553
C,0,76509,66,In Transit,8,O,H85,-88.23778,41.80795,1643969554
C,100,685480,74,Spreading,13,S,H93,-88.135,41.87707,1643969554
M,0,30939,268,In Transit,40,O,H74,-88.14087,41.74822,1643969556
C,100,651276,266,Spreading,24,S,H60,-88.03813,41.75067,1643969584
C,100,685480,72,Spreading,13,S,H93,-88.13175,41.87767,1643969585
C,0,76509,92,In Transit,29,O,H85,-88.2328,41.80705,1643969586
M,0,30939,268,In Transit,38,O,H74,-88.14958,41.74803,1643969587
C,100,685480,74,Spreading,15,S,H93,-88.12988,41.87802,1643969614
C,0,591207,56,In Transit,6,O,H69,-87.93507,41.74827,1643969615
M,0,30939,268,In Transit,38,O,H74,-88.15382,41.74795,1643969615
C,0,76518,80,In Transit,20,O,H85,-88.22862,41.80737,1643969615
C,0,559848,182,Idle,0,O,H70,-87.97313,41.8611,1643969643
C,100,685480,82,Spreading,13,S,H93,-88.1267,41.87852,1643969643
M,0,30939,266,In Transit,35,O,H74,-88.16233,41.74778,1643969645
C,0,651325,266,In Transit,31,O,H60,-88.0444,41.75043,1643969673
C,0,685607,82,In Transit,20,O,H93,-88.12413,41.87875,1643969673
M,0,30939,304,In Transit,6,O,H74,-88.16412,41.74783,1643969675
C,0,76518,70,In Transit,24,O,H85,-88.21625,41.81018,1643969696
C,0,651325,266,In Transit,29,O,H60,-88.05018,41.75023,1643969703
C,0,685607,82,Idle,0,O,H93,-88.12093,41.87905,1643969704
M,0,30939,272,In Transit,2,O,H74,-88.16655,41.74772,1643969706
C,0,429961,180,Idle,0,O,H78,-87.92423,41.93347,1643969706
C,0,651325,266,In Transit,6,O,H60,-88.05167,41.7502,1643969734
C,0,559848,176,In Transit,22,O,H70,-87.97287,41.8558,1643969734
C,100,685608,348,Spreading,17,S,H93,-88.1211,41.8799,1643969734
M,0,30939,268,In Transit,33,O,H74,-88.16917,41.74768,1643969736
C,0,76518,88,In Transit,24,O,H85,-88.21343,41.81033,1643969736
C,0,429961,168,In Transit,8,O,H78,-87.92373,41.93318,1643969737
C,0,651325,268,In Transit,35,O,H60,-88.06,41.75003,1643969762
C,0,1004646,0,Idle,0,O,H67,-88.04003,41.92115,1643969763
M,0,591207,194,Idle,0,B,H69,-87.93482,41.74867,1643969763
C,0,559866,264,In Transit,6,O,H70,-87.973,41.85478,1643969763
C,100,685608,358,Spreading,11,S,H93,-88.1213,41.88198,1643969764
M,0,30939,268,In Transit,40,O,H74,-88.1776,41.74758,1643969765
C,0,76518,88,In Transit,24,O,H85,-88.2081,41.81035,1643969765
C,0,429961,180,In Transit,11,O,H78,-87.92377,41.93183,1643969766
M,0,591207,168,Idle,0,O,H69,-87.93478,41.74863,1643969795
C,0,559866,132,In Transit,6,O,H70,-87.97405,41.85487,1643969795
C,100,685608,358,Spreading,2,S,H93,-88.1213,41.88237,1643969796
M,0,30939,268,In Transit,42,O,H74,-88.18223,41.74752,1643969797
C,0,429968,270,In Transit,17,O,H78,-87.9247,41.93147,1643969797
C,0,76518,104,Idle,0,O,H85,-88.20418,41.80987,1643969797
C,0,651325,208,In Transit,11,O,H60,-88.06395,41.74973,1643969824
C,0,591207,358,In Transit,22,O,H69,-87.93488,41.74967,1643969824
C,0,685645,358,In Transit,17,O,H93,-88.12138,41.88367,1643969825
M,0,30939,268,In Transit,40,O,H74,-88.1917,41.74743,1643969827
C,150,429968,272,Spreading,22,S,H78,-87.92898,41.93157,1643969827
C,150,76518,106,Spreading,8,S,H85,-88.20407,41.80985,1643969827
C,100,685645,2,Spreading,13,S,H93,-88.1214,41.8856,1643969853
C,150,76518,102,Spreading,29,S,H85,-88.19957,41.80897,1643969854
C,0,429979,270,In Transit,22,O,H78,-87.93123,41.93167,1643969855
C,0,651325,178,In Transit,29,O,H60,-88.06288,41.74275,1643969883
C,0,591207,358,In Transit,22,O,H69,-87.93507,41.75553,1643969883
C,100,685654,358,Spreading,11,S,H93,-88.12135,41.88758,1643969884
C,150,429979,268,Spreading,17,S,H78,-87.93453,41.93175,1643969885
C,150,76518,104,Spreading,29,S,H85,-88.19627,41.80833,1643969885
C,0,651325,116,In Transit,8,O,H60,-88.0644,41.74163,1643969913
C,0,559866,176,In Transit,6,O,H70,-87.97252,41.84793,1643969913
C,100,685654,2,Idle,0,S,H93,-88.12135,41.8877,1643969913
C,150,76518,102,Spreading,26,S,H85,-88.19042,41.80723,1643969914
C,150,429979,264,Spreading,17,S,H78,-87.93768,41.9316,1643969915
C,0,651325,44,Idle,0,O,H60,-88.06397,41.74177,1643969943
C,0,559885,172,In Transit,20,O,H70,-87.97245,41.8459,1643969944
C,0,685669,68,In Transit,8,O,H93,-88.1212,41.88782,1643969944
C,150,429979,266,Spreading,6,S,H78,-87.93923,41.93157,1643969946
C,150,76518,104,Spreading,2,S,H85,-88.18868,41.80692,1643969946
M,0,30939,270,Idle,0,O,H74,-88.20523,41.74728,1643969947
C,0,591207,354,In Transit,8,O,H69,-87.93537,41.76475,1643969974
C,300,559885,178,Spreading,26,S,H70,-87.97235,41.84308,1643969975
C,0,685669,264,In Transit,6,O,H93,-88.12088,41.88747,1643969975
C,150,429979,266,Spreading,17,S,H78,-87.94215,41.93138,1643969976
M,0,30939,254,In Transit,2,O,H74,-88.20527,41.74728,1643969977
C,150,76518,78,Spreading,31,S,H85,-88.18282,41.80692,1643969977
C,0,559886,176,In Transit,31,O,H70,-87.97218,41.83952,1643970004
C,150,76518,80,Spreading,26,S,H85,-88.17995,41.80732,1643970005
C,0,685669,82,In Transit,8,O,H93,-88.12075,41.88622,1643970005
M,0,30939,268,In Transit,33,O,H74,-88.20795,41.74728,1643970006
C,200,430052,264,Spreading,22,S,H78,-87.94577,41.93118,1643970006
C,0,591207,356,In Transit,35,O,H69,-87.9357,41.7723,1643970033
C,0,685669,300,Idle,0,O,H93,-88.12123,41.88668,1643970033
M,0,30939,268,In Transit,40,O,H74,-88.21678,41.74717,1643970035
C,150,76518,58,Spreading,24,S,H85,-88.17428,41.80742,1643970036
C,200,430052,264,Spreading,20,S,H78,-87.9491,41.93103,1643970051
C,0,1004646,0,Idle,0,O,H67,-88.04,41.92113,1643970063
C,0,591207,294,In Transit,15,O,H69,-87.93602,41.77438,1643970063
C,0,685669,358,In Transit,13,O,H93,-88.1214,41.88727,1643970063
M,0,30939,266,In Transit,38,O,H74,-88.22115,41.74707,1643970065
C,0,430125,266,In Transit,20,O,H78,-87.95288,41.93085,1643970065
C,150,76518,46,Spreading,26,S,H85,-88.17203,41.80893,1643970065
C,0,559886,178,In Transit,6,O,H70,-87.97197,41.83195,1643970094
C,100,685669,0,Spreading,20,S,H93,-88.12143,41.88918,1643970095
M,0,30939,320,Idle,0,O,H74,-88.22448,41.74735,1643970096
C,0,430125,292,Idle,0,O,H78,-87.9533,41.93087,1643970096
C,0,76815,94,In Transit,15,O,H85,-88.16798,41.81082,1643970096
C,0,591207,0,Idle,0,O,H69,-87.94623,41.77435,1643970125
C,100,685687,358,Spreading,15,S,H93,-88.12147,41.89202,1643970126
C,200,430125,240,Spreading,22,S,H78,-87.95628,41.93028,1643970127
C,0,76815,180,In Transit,22,O,H85,-88.1674,41.80902,1643970127
C,0,591207,118,In Transit,8,O,H69,-87.94657,41.77428,1643970154
C,100,685695,358,Spreading,15,S,H93,-88.12152,41.89437,1643970154
M,0,30939,258,In Transit,20,O,H74,-88.22492,41.74748,1643970155
C,200,430125,240,Spreading,15,S,H78,-87.95667,41.93013,1643970155
C,0,76815,180,In Transit,4,O,H85,-88.16737,41.80827,1643970155
C,0,685710,0,In Transit,20,O,H93,-88.12155,41.89578,1643970183
C,0,591238,88,In Transit,11,O,H69,-87.94608,41.77422,1643970184
C,0,76815,182,In Transit,29,O,H85,-88.16735,41.80648,1643970185
C,200,430168,216,Spreading,26,S,H78,-87.96043,41.92665,1643970186
M,0,30939,246,In Transit,38,O,H74,-88.22835,41.74635,1643970187
C,0,591238,88,In Transit,35,O,H69,-87.94187,41.77435,1643970216
C,0,685710,0,In Transit,22,O,H93,-88.12045,41.89985,1643970216
M,0,30939,246,In Transit,40,O,H74,-88.23612,41.7439,1643970217
C,200,430168,216,Spreading,24,S,H78,-87.96102,41.92612,1643970217
C,0,76815,194,In Transit,13,O,H85,-88.16743,41.80203,1643970217
C,0,591238,0,Idle,0,O,H69,-87.93603,41.77443,1643970244
C,100,685710,358,Spreading,17,S,H93,-88.12045,41.90183,1643970244
M,0,30939,244,In Transit,35,O,H74,-88.2401,41.74258,1643970246
C,0,430232,278,In Transit,8,O,H78,-87.96417,41.92323,1643970246
C,0,76815,276,In Transit,26,O,H85,-88.1703,41.80207,1643970247
C,0,591238,22,In Transit,13,O,H69,-87.93583,41.7746,1643970273
C,0,559893,176,In Transit,26,O,H70,-87.97615,41.81475,1643970273
C,0,685734,32,Idle,0,O,H93,-88.12027,41.90395,1643970273
C,0,430232,300,In Transit,29,O,H78,-87.96768,41.92485,1643970274
M,0,30939,246,In Transit,31,O,H74,-88.2441,41.7413,1643970275
C,0,76815,356,In Transit,6,O,H85,-88.17232,41.80247,1643970275
C,0,591238,356,In Transit,35,O,H69,-87.93593,41.7783,1643970304
C,0,559893,348,In Transit,6,O,H70,-87.9752,41.81217,1643970304
C,0,685734,98,In Transit,13,O,H93,-88.1182,41.90377,1643970304
C,0,430232,300,In Transit,31,O,H78,-87.97222,41.9268,1643970305
C,0,76815,304,In Transit,6,O,H85,-88.17198,41.80345,1643970305
M,0,30939,242,In Transit,35,O,H74,-88.24763,41.74003,1643970306
C,0,591238,358,In Transit,33,O,H69,-87.9361,41.78277,1643970333
C,0,559893,320,In Transit,6,O,H70,-87.9759,41.81237,1643970333
C,0,685734,96,In Transit,31,O,H93,-88.11387,41.90337,1643970333
M,0,30939,2,In Transit,15,O,H74,-88.25113,41.73902,1643970334
C,200,430232,292,Spreading,22,S,H78,-87.9774,41.929,1643970334
C,0,76815,22,Idle,0,O,H85,-88.17263,41.80385,1643970334
C,0,1004646,0,Idle,0,O,H67,-88.04002,41.92112,1643970364
C,0,685734,312,In Transit,8,O,H93,-88.11258,41.9034,1643970364
M,0,30939,30,In Transit,35,O,H74,-88.24767,41.74375,1643970365
C,0,430241,18,In Transit,15,O,H78,-87.97795,41.92948,1643970365
C,0,685734,278,Idle,0,O,H93,-88.11492,41.90375,1643970394
M,0,30939,24,In Transit,2,O,H74,-88.24717,41.74452,1643970396
C,0,430246,6,In Transit,24,O,H78,-87.97638,41.93223,1643970397
C,0,685734,278,In Transit,2,O,H93,-88.11538,41.90382,1643970425
M,0,30939,6,In Transit,38,O,H74,-88.24697,41.74952,1643970427
C,0,430246,352,In Transit,22,O,H78,-87.97812,41.93907,1643970436
C,0,559900,72,In Transit,29,O,H70,-87.97347,41.82398,1643970452
M,0,30939,38,In Transit,38,O,H74,-88.24483,41.75222,1643970454
C,0,430249,350,In Transit,24,O,H78,-87.97835,41.94033,1643970455
C,0,685734,278,Idle,0,O,H93,-88.11955,41.90418,1643970484
M,0,30939,2,In Transit,33,O,H74,-88.243,41.7578,1643970486
C,200,430249,18,Spreading,20,S,H78,-87.97778,41.94467,1643970486
C,0,591238,270,In Transit,35,O,H69,-87.94135,41.78897,1643970513
C,0,685734,276,Idle,0,O,H93,-88.12013,41.90423,1643970513
M,0,30939,2,Idle,0,O,H74,-88.24293,41.75912,1643970521
C,0,430256,10,In Transit,26,O,H78,-87.97748,41.94555,1643970521
C,0,591238,212,In Transit,11,O,H69,-87.94903,41.78852,1643970543
C,0,430256,6,In Transit,31,O,H78,-87.97657,41.94935,1643970545
C,0,591238,176,In Transit,35,O,H69,-87.94708,41.78512,1643970573
C,0,685734,0,Idle,0,O,H93,-88.12015,41.90425,1643970573
C,0,76815,78,In Transit,2,O,H85,-88.17257,41.8039,1643970574
M,0,30939,2,In Transit,33,O,H74,-88.24283,41.76127,1643970575
C,200,430256,330,Spreading,17,S,H78,-87.97787,41.9527,1643970575
C,200,430325,358,Spreading,20,S,H78,-87.97873,41.95758,1643970605
C,0,76815,116,In Transit,4,O,H85,-88.17232,41.80352,1643970605
M,0,30939,0,In Transit,38,O,H74,-88.2427,41.7643,1643970606
M,0,591238,176,In Transit,33,O,H69,-87.94688,41.77553,1643970633
C,0,685738,178,In Transit,22,O,H93,-88.12067,41.90233,1643970634
C,0,586482,186,Idle,0,O,H62,-88.2535,41.97985,1643970636
C,0,76815,172,In Transit,6,O,H85,-88.17198,41.80335,1643970636
M,0,30939,14,In Transit,42,O,H74,-88.242,41.77055,1643970637
C,0,430352,0,In Transit,15,O,H78,-87.97877,41.95957,1643970637
C,0,1004646,0,Idle,0,O,H67,-88.03997,41.92117,1643970664
M,0,591238,246,In Transit,6,O,H69,-87.94702,41.77442,1643970664
C,150,685742,186,Spreading,22,S,H93,-88.12067,41.89957,1643970664
M,0,30939,2,In Transit,40,O,H74,-88.24103,41.77393,1643970665
C,200,430352,358,Spreading,15,S,H78,-87.97875,41.96167,1643970665
C,0,76815,242,In Transit,2,O,H85,-88.17248,41.80252,1643970665
M,0,30939,2,In Transit,38,O,H74,-88.2407,41.78032,1643970694
C,200,430352,12,Idle,0,S,H78,-87.97873,41.96305,1643970694
C,150,685758,182,Spreading,24,S,H93,-88.12168,41.89615,1643970694
C,0,76815,320,In Transit,24,O,H85,-88.17438,41.80365,1643970695
C,0,559900,272,In Transit,6,O,H70,-87.99922,41.83143,1643970722
C,0,685772,180,In Transit,20,O,H93,-88.1217,41.89435,1643970723
M,0,30939,350,In Transit,40,O,H74,-88.24075,41.78343,1643970725
C,0,430375,12,Idle,0,O,H78,-87.97872,41.96305,1643970725
C,0,76823,290,In Transit,24,O,H85,-88.17742,41.80508,1643970725
M,0,30939,2,In Transit,38,O,H74,-88.24108,41.79007,1643970755
C,0,430375,4,In Transit,6,O,H78,-87.97872,41.96313,1643970755
C,0,76823,262,In Transit,29,O,H85,-88.18255,41.80507,1643970755
C,0,685787,178,In Transit,29,O,H93,-88.12163,41.89025,1643970755
C,0,685807,0,Idle,0,O,H93,-88.12163,41.88812,1643970783
C,0,76823,232,In Transit,26,O,H85,-88.18538,41.80438,1643970784
C,0,430386,358,In Transit,15,O,H78,-87.97873,41.96538,1643970785
M,0,30939,4,In Transit,38,O,H74,-88.2408,41.79327,1643970786
C,0,685807,180,Idle,0,O,H93,-88.12163,41.88803,1643970814
M,0,591238,84,In Transit,13,O,H69,-87.94857,41.77418,1643970815
C,0,430386,2,Idle,0,O,H78,-87.97873,41.96668,1643970815
M,0,30939,4,Idle,0,O,H74,-88.24038,41.79785,1643970816
C,0,76823,0,In Transit,6,O,H85,-88.18882,41.80195,1643970816
C,0,685807,0,Idle,0,O,H93,-88.12165,41.88803,1643970843
M,0,30939,4,In Transit,35,O,H74,-88.2401,41.80005,1643970844
C,0,430386,180,In Transit,6,O,H78,-87.9789,41.96673,1643970844
C,150,76823,2,Spreading,22,S,H85,-88.18858,41.80447,1643970844
M,0,591238,26,In Transit,13,O,H69,-87.94653,41.77442,1643970873
C,100,685811,178,Spreading,13,S,H93,-88.12163,41.88727,1643970873
M,0,30939,8,In Transit,40,O,H74,-88.23948,41.80317,1643970874
C,200,430386,184,Idle,0,S,H78,-87.97882,41.96538,1643970874
C,0,76832,84,In Transit,8,O,H85,-88.18812,41.80682,1643970874
C,0,651325,34,In Transit,8,O,H60,-88.06285,41.74215,1643970903
M,0,591238,358,In Transit,35,O,H69,-87.94663,41.77805,1643970903
C,0,239902,0,Idle,0,O,H75,-88.04272,41.80792,1643970903
C,100,685828,178,Spreading,20,S,H93,-88.12153,41.88433,1643970903
M,0,30939,74,In Transit,15,O,H74,-88.23772,41.80793,1643970904
C,0,430410,140,Idle,0,O,H78,-87.97887,41.96515,1643970904
C,0,76832,90,In Transit,26,O,H85,-88.18593,41.80663,1643970904
C,0,559900,202,In Transit,13,O,H70,-88.01095,41.83088,1643970932
C,0,239902,188,Idle,0,O,H75,-88.04277,41.80755,1643970933
C,100,685828,178,Spreading,20,S,H93,-88.12148,41.88218,1643970934
M,0,30939,96,In Transit,42,O,H74,-88.23438,41.80727,1643970935
C,0,430410,50,In Transit,6,O,H78,-87.97873,41.96513,1643970935
C,0,76832,90,In Transit,29,O,H85,-88.17953,41.80735,1643970935
C,0,651325,342,In Transit,33,O,H60,-88.0632,41.7486,1643970963
C,0,1004646,0,Idle,0,O,H67,-88.03995,41.92118,1643970963
M,0,591238,56,In Transit,20,O,H69,-87.94622,41.79037,1643970963
C,0,239902,272,In Transit,22,O,H75,-88.04483,41.80753,1643970963
M,0,30939,80,In Transit,42,O,H74,-88.22537,41.80778,1643970964
C,200,430410,180,Spreading,17,S,H78,-87.97888,41.96608,1643970964
C,0,76832,88,In Transit,29,O,H85,-88.17642,41.80693,1643970964
C,0,685858,150,Idle,0,O,H93,-88.1209,41.87928,1643970964
M,0,591238,232,In Transit,6,O,H69,-87.94545,41.7888,1643970994
M,0,30939,80,In Transit,40,O,H74,-88.22093,41.80833,1643970995
C,200,430410,204,Idle,0,S,H78,-87.97893,41.9652,1643970995
C,0,685862,262,In Transit,11,O,H93,-88.12125,41.87908,1643970995
C,0,76832,46,In Transit,29,O,H85,-88.17133,41.80937,1643970996
C,0,239902,272,In Transit,20,O,H75,-88.05223,41.80788,1643971023
C,0,76832,68,In Transit,24,O,H85,-88.1691,41.81072,1643971023
C,100,685862,264,Spreading,13,S,H93,-88.12367,41.87888,1643971023
M,0,30939,88,In Transit,35,O,H74,-88.21357,41.81037,1643971024
C,0,430447,0,Idle,0,O,H78,-87.97872,41.96673,1643971024
C,150,685869,262,Spreading,13,S,H93,-88.12647,41.87863,1643971054
M,0,30939,90,In Transit,35,O,H74,-88.2097,41.81038,1643971055
C,0,430447,178,In Transit,6,O,H78,-87.97887,41.9666,1643971055
C,150,76832,126,Idle,0,S,H85,-88.16747,41.81068,1643971055
C,0,239902,274,In Transit,31,O,H75,-88.06103,41.80832,1643971082
M,0,591238,178,In Transit,35,O,H69,-87.94702,41.78377,1643971083
C,0,76849,180,In Transit,20,O,H85,-88.1674,41.80935,1643971084
C,0,685891,254,In Transit,15,O,H93,-88.12932,41.87822,1643971084
M,0,30939,104,In Transit,29,O,H74,-88.20302,41.80968,1643971085
C,0,430463,166,Idle,0,O,H78,-87.97892,41.96517,1643971085
C,0,651325,88,In Transit,33,O,H60,-88.04372,41.7503,1643971113
M,0,591238,178,In Transit,35,O,H69,-87.94688,41.77577,1643971113
M,0,30939,104,In Transit,33,O,H74,-88.19977,41.80903,1643971114
C,0,430463,16,In Transit,6,O,H78,-87.97873,41.96532,1643971114
C,0,76849,178,In Transit,29,O,H85,-88.16738,41.80672,1643971114
C,100,685894,254,Spreading,15,S,H93,-88.13233,41.87767,1643971114
C,0,651325,88,Idle,0,O,H60,-88.04115,41.75035,1643971142
C,300,559900,184,Spreading,20,S,H70,-88.01118,41.80993,1643971142
M,100,591238,244,Spreading,6,B,H69,-87.947,41.77438,1643971143
C,0,239902,268,In Transit,29,O,H75,-88.07057,41.80883,1643971143
C,100,685908,256,Spreading,13,S,H93,-88.13517,41.87712,1643971145
M,0,30939,104,In Transit,33,O,H74,-88.19172,41.8075,1643971146
C,0,430463,160,In Transit,6,O,H78,-87.97887,41.96668,1643971146
C,0,76849,180,In Transit,20,O,H85,-88.16733,41.80458,1643971146
C,0,559912,176,Idle,0,O,H70,-88.01118,41.80903,1643971172
C,0,591238,268,Idle,0,O,H69,-87.94868,41.77432,1643971173
M,0,30939,102,In Transit,31,O,H74,-88.18823,41.80685,1643971174
C,0,430478,206,Idle,0,O,H78,-87.97888,41.96517,1643971174
C,0,76849,184,Idle,0,O,H85,-88.16732,41.80217,1643971174
C,100,685917,254,Spreading,13,S,H93,-88.13698,41.87677,1643971174
C,0,239902,268,Idle,0,O,H75,-88.07565,41.80805,1643971204
C,100,685934,256,Spreading,15,S,H93,-88.13908,41.87643,1643971204
M,0,30939,78,In Transit,33,O,H74,-88.18042,41.80725,1643971206
C,0,430478,336,In Transit,6,O,H78,-87.97875,41.96528,1643971206
C,0,76849,182,Idle,0,O,H85,-88.16732,41.80192,1643971206
C,0,1004646,192,In Transit,8,O,H67,-88.0402,41.921,1643971233
C,0,430478,0,In Transit,24,O,H78,-87.97872,41.96802,1643971234
C,100,685934,242,Spreading,17,S,H93,-88.14267,41.87543,1643971234
M,0,30939,92,In Transit,35,O,H74,-88.17675,41.80697,1643971235
C,0,651325,88,In Transit,6,O,H60,-88.03455,41.75048,1643971262
C,0,559912,330,In Transit,6,O,H70,-88.0147,41.80867,1643971263
C,0,1004646,254,In Transit,6,O,H67,-88.04037,41.91997,1643971265
C,0,591238,0,Idle,0,O,H69,-87.9576,41.77397,1643971266
M,0,30939,44,In Transit,33,O,H74,-88.17112,41.80958,1643971267
C,0,430478,0,In Transit,22,O,H78,-87.9787,41.9704,1643971267
C,0,685984,248,Idle,0,O,H93,-88.14595,41.87408,1643971294
M,0,30939,92,Idle,0,O,H74,-88.1678,41.8109,1643971295
C,0,430481,348,In Transit,26,O,H78,-87.97927,41.97327,1643971295
C,0,76849,170,In Transit,2,O,H85,-88.16735,41.80192,1643971295
M,0,591238,0,Idle,0,O,H69,-87.9576,41.77397,1643971323
C,0,239902,268,In Transit,33,O,H75,-88.08972,41.80832,1643971323
C,0,1004646,0,In Transit,29,O,H67,-88.04218,41.92353,1643971324
C,0,685984,312,In Transit,4,O,H93,-88.14615,41.87407,1643971324
M,0,30939,30,In Transit,17,O,H74,-88.16723,41.81098,1643971325
C,0,430481,358,In Transit,31,O,H78,-87.97963,41.9768,1643971325
C,0,76858,96,In Transit,22,O,H85,-88.16452,41.80132,1643971325
C,0,559912,4,In Transit,11,O,H70,-88.01122,41.81143,1643971352
C,0,239902,176,In Transit,29,O,H75,-88.09143,41.80617,1643971352
C,0,1004646,0,In Transit,29,O,H67,-88.04213,41.92713,1643971353
M,0,30939,356,In Transit,31,O,H74,-88.16808,41.81502,1643971353
C,0,76865,94,In Transit,24,O,H85,-88.16255,41.80113,1643971353
C,100,685984,344,Spreading,15,S,H93,-88.14703,41.87668,1643971353
M,100,591238,276,Spreading,4,S,H69,-87.95765,41.77397,1643971354
C,0,430489,358,In Transit,20,O,H78,-87.9798,41.98172,1643971354
C,0,1004646,0,In Transit,29,O,H67,-88.04207,41.93078,1643971383
M,50,591238,264,Spreading,4,S,H69,-87.95817,41.77397,1643971384
M,0,30939,356,Idle,0,O,H74,-88.16815,41.81623,1643971384
C,0,430489,58,In Transit,8,O,H78,-87.97967,41.98295,1643971384
C,0,76865,88,In Transit,4,O,H85,-88.16095,41.80105,1643971384
C,150,686013,344,Spreading,13,S,H93,-88.148,41.87938,1643971384
C,0,239902,178,In Transit,29,O,H75,-88.0911,41.79893,1643971413
M,50,591238,268,Spreading,4,S,H69,-87.95942,41.77393,1643971414
C,100,686023,346,Spreading,11,S,H93,-88.1486,41.88125,1643971414
M,0,30939,32,In Transit,4,O,H74,-88.16818,41.81625,1643971415
C,0,430489,90,In Transit,33,O,H78,-87.97522,41.98297,1643971415
C,0,76865,88,In Transit,24,O,H85,-88.1563,41.8012,1643971416
C,0,651325,176,In Transit,6,O,H60,-88.03067,41.73632,1643971450
M,0,591238,0,Idle,0,O,H69,-87.96007,41.77392,1643971450
C,100,686023,346,Spreading,26,S,H93,-88.14968,41.88442,1643971451
M,0,30939,0,In Transit,29,O,H74,-88.16835,41.82035,1643971452
C,150,430489,88,Spreading,8,S,H78,-87.97032,41.98292,1643971452
C,0,76865,86,In Transit,22,O,H85,-88.15353,41.80128,1643971452
C,0,239902,174,In Transit,24,O,H75,-88.09065,41.79172,1643971473
C,0,430495,92,In Transit,29,O,H78,-87.96668,41.98282,1643971474
C,0,686031,344,In Transit,24,O,H93,-88.15037,41.8864,1643971474
M,0,30939,0,In Transit,38,O,H74,-88.1684,41.82323,1643971475
C,0,76865,156,In Transit,8,O,H85,-88.15238,41.80035,1643971475
C,100,651325,146,Spreading,29,S,H60,-88.02983,41.72942,1643971502
C,0,1004646,302,In Transit,15,O,H67,-88.04232,41.93285,1643971502
C,0,239902,8,Idle,0,O,H75,-88.08928,41.7915,1643971503
C,100,686031,300,Spreading,8,S,H93,-88.15115,41.88822,1643971503
M,0,30939,2,In Transit,24,O,H74,-88.16817,41.82942,1643971504
