scts,acquisitionTime,idDevice,originCode,latitude_,longitude_,altitude,dop,fixType,mortalityStatus,mainVoltage,backupVoltage,temperature,positionisValid
5/26/2021 15:40:00,5/24/2021 16:01:00,37526,Iridium,48.398629999999997,-92.997339999999994,400,4.000000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,20,valid
5/26/2021 15:40:00,5/24/2021 16:20:00,37526,Iridium,48.398699999999998,-92.997249999999994,384,4.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,22,valid
5/25/2021 23:41:00,5/24/2021 16:40:00,37526,Iridium,48.398560000000003,-92.997619999999998,387,4.600000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,23,valid
5/25/2021 23:41:00,5/24/2021 17:00:00,37526,Iridium,48.398530000000001,-92.997590000000002,385,3.800000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,23,valid
5/25/2021 23:41:00,5/24/2021 17:20:00,37526,Iridium,48.398330000000001,-92.997500000000002,387,3.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,24,valid
5/25/2021 23:41:00,5/24/2021 17:40:00,37526,Iridium,48.396659999999997,-92.997730000000004,375,2.600000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,25,valid
5/25/2021 23:41:00,5/24/2021 18:00:00,37526,Iridium,48.396070000000002,-92.996560000000002,374,2.600000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,24,valid
5/25/2021 23:41:00,5/24/2021 18:20:00,37526,Iridium,48.396129999999999,-92.996660000000006,345,9.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,24,valid
5/25/2021 23:41:00,5/24/2021 18:40:00,37526,Iridium,48.396090000000001,-92.996499999999997,393,9.199999999999999,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,25,valid
5/25/2021 23:41:00,5/24/2021 19:00:00,37526,Iridium,48.396160000000002,-92.996769999999998,335,9.199999999999999,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,26,valid
5/25/2021 23:41:00,5/24/2021 19:20:00,37526,Iridium,48.396140000000003,-92.996459999999999,367,8.800000000000001,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,26,valid
5/25/2021 23:41:00,5/24/2021 19:40:00,37526,Iridium,48.396079999999998,-92.996610000000004,378,3.000000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,27,valid
5/25/2021 23:41:00,5/24/2021 20:00:00,37526,Iridium,48.396230000000003,-92.996539999999996,363,3.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 20:20:00,37526,Iridium,48.396000000000001,-92.996499999999997,376,6.000000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 20:40:00,37526,Iridium,48.396030000000003,-92.996530000000007,370,7.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,27,valid
5/25/2021 23:41:00,5/24/2021 21:00:00,37526,Iridium,48.396210000000004,-92.997159999999994,363,3.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 21:20:00,37526,Iridium,48.396290000000000,-92.997140000000002,365,3.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 21:40:00,37526,Iridium,48.396230000000003,-92.997190000000003,364,3.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 22:00:00,37526,Iridium,48.396220000000000,-92.997190000000003,365,2.800000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 22:20:00,37526,Iridium,48.396270000000001,-92.997270000000000,384,2.600000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 22:40:00,37526,Iridium,48.396210000000004,-92.997209999999995,371,2.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 23:00:00,37526,Iridium,48.396250000000002,-92.997249999999994,364,2.800000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 23:20:00,37526,Iridium,48.396189999999997,-92.997410000000002,375,4.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 23:41:00,5/24/2021 23:40:00,37526,Iridium,48.396210000000004,-92.997270000000000,368,2.000000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 3:40:00,5/25/2021 0:00:00,37526,Iridium,48.396419999999999,-92.996889999999993,337,2.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 3:40:00,5/25/2021 0:20:00,37526,Iridium,48.396090000000001,-92.997339999999994,362,2.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 3:40:00,5/25/2021 0:40:00,37526,Iridium,48.396239999999999,-92.997249999999994,371,6.400000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,28,valid
5/25/2021 3:40:00,5/25/2021 1:00:00,37526,Iridium,48.396210000000004,-92.997280000000003,352,5.200000000000000,3D Valid,Nothing Detected,3.360000000000000,3.680000000000000,27,valid
