SpeedMetersPerSecond,Location_Longitude,HeadingDegrees,VehicleId,Location_Latitude,ReportTimeDate
0,-88.04153,288,G 14,41.9327,2/4/2021 18:23
0,-88.04153,288,G 14,41.9327,2/4/2021 18:23
11,-87.95758,222,G 13,41.92953,2/4/2021 18:24
12,-87.96113,214,G 13,41.92592,2/4/2021 18:24
1,-88.04158,280,G 14,41.93272,2/4/2021 18:24
8,-87.96208,216,G 13,41.92497,2/4/2021 18:25
11,-88.0431,278,G 14,41.93295,2/4/2021 18:25
12,-88.04888,282,G 14,41.93378,2/4/2021 18:25
1,-87.96395,106,G 13,41.923,2/4/2021 18:26
9,-87.96275,36,G 13,41.92417,2/4/2021 18:26
1,-87.96123,290,G 13,41.9258,2/4/2021 18:26
10,-88.0514,284,G 14,41.93422,2/4/2021 18:26
10,-88.05417,0,G 14,41.93595,2/4/2021 18:26
9,-87.96202,214,G 13,41.92508,2/4/2021 18:27
0,-87.964,228,G 13,41.92322,2/4/2021 18:27
10,-88.05413,358,G 14,41.93848,2/4/2021 18:27
3,-88.05403,48,G 14,41.94037,2/4/2021 18:27
13,-87.96658,300,G 13,41.92427,2/4/2021 18:28
15,-87.96963,298,G 13,41.92563,2/4/2021 18:28
2,-88.05078,42,G 14,41.94055,2/4/2021 18:28
12,-88.05095,350,G 14,41.94315,2/4/2021 18:28
13,-87.9758,300,G 13,41.92832,2/4/2021 18:29
0,-87.97812,286,G 13,41.9291,2/4/2021 18:29
15,-88.05108,356,G 14,41.94692,2/4/2021 18:29
12,-88.05125,358,G 14,41.95055,2/4/2021 18:29
1,-87.97855,194,G 13,41.92892,2/4/2021 18:30
11,-87.979,154,G 13,41.92628,2/4/2021 18:30
11,-88.05133,358,G 14,41.95335,2/4/2021 18:30
0,-88.05125,16,G 14,41.95423,2/4/2021 18:30
13,-87.97747,150,G 13,41.92423,2/4/2021 18:31
12,-87.97467,154,G 13,41.92015,2/4/2021 18:31
12,-87.97467,154,G 13,41.92015,2/4/2021 18:31
12,-87.97467,154,G 13,41.92015,2/4/2021 18:31
8,-88.05042,24,G 14,41.95545,2/4/2021 18:31
11,-88.04988,358,G 14,41.95722,2/4/2021 18:31
11,-88.05118,340,G 14,41.96102,2/4/2021 18:32
12,-87.9702,162,G 13,41.90905,2/4/2021 18:33
10,-87.96937,162,G 13,41.90698,2/4/2021 18:33
11,-88.05157,358,G 14,41.96725,2/4/2021 18:33
11,-88.05157,358,G 14,41.96725,2/4/2021 18:33
11,-88.05152,0,G 14,41.9694,2/4/2021 18:33
1,-87.96893,124,G 13,41.90567,2/4/2021 18:34
9,-88.05145,0,G 14,41.97343,2/4/2021 18:34
10,-88.05145,0,G 14,41.9753,2/4/2021 18:34
7,-87.9691,344,G 13,41.90633,2/4/2021 18:35
12,-87.96988,342,G 13,41.90823,2/4/2021 18:35
1,-88.05143,0,G 14,41.97663,2/4/2021 18:35
8,-88.05138,0,G 14,41.97887,2/4/2021 18:35
13,-87.97153,344,G 13,41.91307,2/4/2021 18:36
13,-87.97237,344,G 13,41.91545,2/4/2021 18:36
8,-88.05135,358,G 14,41.98072,2/4/2021 18:36
12,-88.05125,0,G 14,41.98467,2/4/2021 18:36
13,-87.97458,336,G 13,41.92,2/4/2021 18:37
13,-87.97597,332,G 13,41.92215,2/4/2021 18:37
10,-88.05115,2,G 14,41.98677,2/4/2021 18:37
9,-88.04877,52,G 14,41.98908,2/4/2021 18:37
11,-87.97893,332,G 13,41.92622,2/4/2021 18:38
8,-87.97915,14,G 13,41.92778,2/4/2021 18:38
0,-87.97838,26,G 13,41.92897,2/4/2021 18:38
0,-87.97838,26,G 13,41.92897,2/4/2021 18:38
0,-87.97838,26,G 13,41.92897,2/4/2021 18:38
0,-87.97838,26,G 13,41.92897,2/4/2021 18:38
8,-88.04733,42,G 14,41.9901,2/4/2021 18:38
0,-88.04638,16,G 14,41.99132,2/4/2021 18:38
3,-88.04605,4,G 14,41.99218,2/4/2021 18:39
3,-88.0463,172,G 14,41.99223,2/4/2021 18:39
5,-87.97855,292,G 13,41.9293,2/4/2021 18:40
7,-88.04757,212,G 14,41.99012,2/4/2021 18:40
8,-88.0501,230,G 14,41.9884,2/4/2021 18:40
12,-87.98175,288,G 13,41.93008,2/4/2021 18:41
11,-87.98663,288,G 13,41.9314,2/4/2021 18:41
12,-88.05133,182,G 14,41.98668,2/4/2021 18:41
0,-87.9883,292,G 13,41.93187,2/4/2021 18:42
4,-87.98868,336,G 13,41.93202,2/4/2021 18:42
10,-88.0514,180,G 14,41.98237,2/4/2021 18:42
9,-88.05142,178,G 14,41.9802,2/4/2021 18:42
10,-87.98865,358,G 13,41.9336,2/4/2021 18:43
14,-87.98868,0,G 13,41.93815,2/4/2021 18:43
6,-88.05148,180,G 14,41.97798,2/4/2021 18:43
2,-88.05153,180,G 14,41.97735,2/4/2021 18:43
9,-88.05153,180,G 14,41.97497,2/4/2021 18:43
13,-87.98865,358,G 13,41.94063,2/4/2021 18:44
13,-87.98867,0,G 13,41.94535,2/4/2021 18:44
10,-88.05157,180,G 14,41.97227,2/4/2021 18:44
10,-88.05158,180,G 14,41.96973,2/4/2021 18:44
13,-87.98868,358,G 13,41.9477,2/4/2021 18:45
12,-87.98893,354,G 13,41.95255,2/4/2021 18:45
11,-88.05167,182,G 14,41.96632,2/4/2021 18:45
11,-88.0517,180,G 14,41.96418,2/4/2021 18:45
12,-87.98918,354,G 13,41.95493,2/4/2021 18:46
12,-87.98968,354,G 13,41.9594,2/4/2021 18:46
11,-88.0508,158,G 14,41.96002,2/4/2021 18:46
9,-88.05002,178,G 14,41.95673,2/4/2021 18:46
12,-87.98993,354,G 13,41.96158,2/4/2021 18:47
0,-87.99027,14,G 13,41.96515,2/4/2021 18:47
0,-87.99027,14,G 13,41.96515,2/4/2021 18:47
1,-88.05093,210,G 14,41.9549,2/4/2021 18:47
8,-88.0514,172,G 14,41.95358,2/4/2021 18:47
1,-87.99042,144,G 13,41.9652,2/4/2021 18:48
12,-88.0512,176,G 14,41.9494,2/4/2021 18:48
12,-88.05117,176,G 14,41.94715,2/4/2021 18:48
9,-87.99023,174,G 13,41.96435,2/4/2021 18:49
14,-87.98972,172,G 13,41.95973,2/4/2021 18:49
11,-88.0509,174,G 14,41.94282,2/4/2021 18:49
4,-88.05087,230,G 14,41.94053,2/4/2021 18:49
13,-87.98947,172,G 13,41.95722,2/4/2021 18:50
13,-87.98887,174,G 13,41.95208,2/4/2021 18:50
10,-88.05293,268,G 14,41.94048,2/4/2021 18:50
10,-88.05418,180,G 14,41.93785,2/4/2021 18:50
12,-87.98863,178,G 13,41.94973,2/4/2021 18:51
14,-87.98867,178,G 13,41.9446,2/4/2021 18:51
9,-88.05422,180,G 14,41.93588,2/4/2021 18:51
0,-88.05425,186,G 14,41.935,2/4/2021 18:51
14,-87.98872,180,G 13,41.94197,2/4/2021 18:52
12,-87.98872,178,G 13,41.9371,2/4/2021 18:52
4,-88.05438,244,G 14,41.93482,2/4/2021 18:52
12,-88.05673,276,G 14,41.93508,2/4/2021 18:52
11,-87.98872,178,G 13,41.93485,2/4/2021 18:53
0,-87.98875,174,G 13,41.93223,2/4/2021 18:53
8,-88.06267,270,G 14,41.93513,2/4/2021 18:53
4,-88.06398,284,G 14,41.93523,2/4/2021 18:53
3,-87.98908,282,G 13,41.93213,2/4/2021 18:54
1,-87.98945,18,G 13,41.93237,2/4/2021 18:54
12,-88.06863,280,G 14,41.93578,2/4/2021 18:54
11,-88.07153,278,G 14,41.9361,2/4/2021 18:54
1,-87.98898,48,G 13,41.93322,2/4/2021 18:55
4,-87.98872,178,G 13,41.93302,2/4/2021 18:55
12,-88.07693,278,G 14,41.93677,2/4/2021 18:55
11,-88.07968,284,G 14,41.9371,2/4/2021 18:55
0,-87.9887,178,G 13,41.93228,2/4/2021 18:56
12,-88.08522,278,G 14,41.9377,2/4/2021 18:56
10,-88.08828,276,G 14,41.93797,2/4/2021 18:56
4,-87.98857,136,G 13,41.93088,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
0,-87.98813,190,G 13,41.93032,2/4/2021 18:57
