OID_,latitude,longitude,location,speed_mph,name,timestamp
5869,43.06773418,-76.15982866,"1314 North Salina Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:19:10
5870,43.0156013,-76.15979242,"318 Valley Drive, Syracuse, NY, 13207",3,SW 1,2/5/2022 13:19:12
5871,43.02550115,-76.15910491,"1206 South Avenue, Syracuse, NY, 13207",6,SW 3,2/5/2022 13:19:14
5872,43.01567198,-76.15982974,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:19:17
5873,43.02886738,-76.17504824,"1901 South Geddes Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:19:21
5874,43.01562842,-76.15982165,"318 Valley Drive, Syracuse, NY, 13207",0,SW 1,2/5/2022 13:19:23
5875,43.02576625,-76.15903363,"115 West Bissell Street, Syracuse, NY, 13207",7,SW 3,2/5/2022 13:19:23
5876,43.0676747,-76.15961626,"1308 North Salina Street, Syracuse, NY, 13208",0,SW 5,2/5/2022 13:19:24
5877,43.02876551,-76.17503806,"1901 South Geddes Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:19:28
5878,43.01567727,-76.15983368,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:19:29
5879,43.06767554,-76.1596163,"1308 North Salina Street, Syracuse, NY, 13208",0,SW 5,2/5/2022 13:19:30
5880,43.01565818,-76.15982402,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:19:35
5881,43.02876987,-76.17505015,"1901 South Geddes Street, Syracuse, NY, 13207",1,SW 2,2/5/2022 13:19:35
5882,43.06765069,-76.1595907,"1308 North Salina Street, Syracuse, NY, 13208",5,SW 5,2/5/2022 13:19:36
5883,43.02603412,-76.1589176,"1148 South Avenue, Syracuse, NY, 13207",10,SW 3,2/5/2022 13:19:36
5884,43.01568878,-76.1598439,"318 Valley Drive, Syracuse, NY, 13207",4,SW 1,2/5/2022 13:19:40
5885,43.02878761,-76.17506106,"1901 South Geddes Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:19:41
5886,43.06758988,-76.15939582,"1308 North Salina Street, Syracuse, NY, 13208",0,SW 5,2/5/2022 13:19:42
5887,43.02632645,-76.15880496,"1148 South Avenue, Syracuse, NY, 13207",11,SW 3,2/5/2022 13:19:43
5888,43.01568629,-76.15984226,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:19:45
5889,43.02873321,-76.17505191,"1901 South Geddes Street, Syracuse, NY, 13207",0,SW 2,2/5/2022 13:19:46
5890,43.06759014,-76.15941261,"1308 North Salina Street, Syracuse, NY, 13208",3,SW 5,2/5/2022 13:19:48
5891,43.02654681,-76.15873011,"22 Centennial Drive, Syracuse, NY, 13207",5,SW 3,2/5/2022 13:19:50
5892,43.01569159,-76.15984206,"318 Valley Drive, Syracuse, NY, 13207",2,SW 1,2/5/2022 13:19:52
5893,43.028794,-76.17504862,"1901 South Geddes Street, Syracuse, NY, 13207",2,SW 2,2/5/2022 13:19:52
5894,43.06750118,-76.1592727,"1301 North Salina Street, Syracuse, NY, 13208",8,SW 5,2/5/2022 13:19:53
5895,43.02878281,-76.17504422,"1901 South Geddes Street, Syracuse, NY, 13207",3,SW 2,2/5/2022 13:19:57
5896,43.02683124,-76.15861754,"1148 South Avenue, Syracuse, NY, 13207",9,SW 3,2/5/2022 13:19:58
